Red,Green,Blue,Shade
242,241,230,White
236,230,208,White
237,233,221,White
239,236,225,White
230,219,196,White
227,221,211,White
232,222,205,White
236,247,247,White
237,242,248,White
223,212,191,White
225,218,203,White
194,206,210,White
239,225,210,White
231,231,230,White
249,239,228,White
244,237,228,White
242,243,244,White
236,230,213,White
221,255,255,White
247,240,219,White
243,241,243,White
237,235,226,White
233,234,231,White
249,234,235,White
233,228,212,White
237,229,207,White
241,238,228,White
222,226,228,White
250,226,207,White
254,240,222,White
219,233,244,White
236,239,239,White
255,248,209,White
242,231,216,White
198,207,173,White
225,224,214,White
225,227,221,White
247,229,183,White
235,225,201,White
246,238,214,White
235,240,228,White
240,241,225,White
246,238,223,White
229,228,219,White
235,225,206,White
223,227,232,White
242,238,228,White
153,186,221,White
241,225,176,White
235,241,233,White
244,245,240,White
237,241,254,White
238,235,227,White
253,222,189,White
241,235,218,White
236,242,236,White
247,245,246,White
224,228,220,White
233,235,231,White
219,217,205,White
254,254,224,White
208,235,241,White
249,239,226,White
234,241,230,White
229,241,237,White
234,230,217,White
226,229,222,White
202,199,183,White
250,247,214,White
236,225,203,White
246,235,238,White
242,242,237,White
233,237,246,White
237,252,251,White
255,237,188,White
237,236,230,White
228,223,206,White
218,230,226,White
247,239,221,White
228,227,216,White
242,238,226,White
240,233,214,White
240,238,227,White
217,229,221,White
212,212,196,White
248,243,227,White
210,218,208,White
242,229,207,White
246,244,236,White
235,226,229,White
241,242,238,White
231,222,209,White
247,252,254,White
226,239,243,White
232,228,201,White
223,220,219,White
230,220,205,White
213,207,189,White
228,207,153,White
210,195,163,White
230,226,216,White
241,235,221,White
250,250,250,White
227,216,213,White
230,208,171,White
240,223,187,White
214,209,192,White
255,239,193,White
243,228,220,White
223,217,207,White
229,241,236,White
225,222,215,White
234,229,207,White
245,240,225,White
232,227,214,White
242,242,244,White
194,189,194,White
250,243,220,White
230,241,241,White
216,219,215,White
228,220,212,White
238,239,234,White
222,212,216,White
231,234,229,White
250,237,225,White
255,250,240,White
241,239,228,White
239,238,255,White
239,235,219,White
241,231,219,White
221,221,214,White
234,235,228,White
247,234,212,White
227,219,212,White
248,248,255,White
240,234,224,White
255,252,236,White
234,225,223,White
240,240,224,White
231,219,211,White
239,227,216,White
189,189,198,White
222,221,203,White
209,241,222,White
215,213,203,White
214,222,233,White
246,241,244,White
232,228,214,White
240,237,231,White
242,229,191,White
251,240,214,White
230,219,199,White
235,232,230,White
231,224,211,White
247,247,241,White
235,230,215,White
245,245,220,White
248,236,211,White
252,239,209,White
229,218,212,White
241,242,228,White
242,236,230,White
223,240,226,White
245,231,227,White
227,222,215,White
239,218,194,White
235,246,247,White
212,205,202,White
236,243,249,White
240,225,216,White
209,205,208,White
238,230,217,White
242,237,226,White
206,214,230,White
230,221,202,White
230,211,178,White
232,232,224,White
224,214,200,White
232,245,252,White
246,247,241,White
206,220,202,White
251,246,224,White
242,241,237,White
219,213,206,White
213,208,203,White
206,220,214,White
248,237,209,White
226,227,214,White
240,231,211,White
207,201,192,White
233,220,209,White
247,243,224,White
244,241,236,White
247,247,247,White
244,247,253,White
216,191,200,White
242,240,230,White
229,230,224,White
245,234,214,White
235,229,216,White
255,255,212,White
222,227,228,White
230,240,222,White
238,232,232,White
243,232,184,White
204,204,238,White
245,237,226,White
220,217,205,White
220,229,217,White
232,230,231,White
245,244,230,White
226,216,194,White
233,222,207,White
230,221,212,White
234,244,252,White
249,240,222,White
198,219,214,White
252,252,207,White
231,242,222,White
231,233,230,White
210,161,114,White
240,225,205,White
240,226,222,White
242,240,234,White
251,237,226,White
255,222,173,White
222,223,220,White
241,237,231,White
230,221,213,White
225,225,221,White
222,221,209,White
